City,Co,No2,O3,So2,Pm10,Pm25,Cluster
Abu dhabi,0.10004725897920606,12.196340919232485,27.72130865260439,4.985943775100401,79.43933987511151,97.84611742424242,1
Adana,4.047877461706784,11.253877887788779,16.46683520599251,4.181441947565544,31.489910313901344,68.21478260869566,2
Adapazarı,18.371643002028396,12.695785742418275,16.357013038324773,19.657261410788383,38.06447417316983,72.09074803149606,3
Adelaide,2.4488631708316264,20.026719840478563,23.991919393455706,8.578091106290673,13.293801076340442,16.6368431940422,0
Aguascalientes,7.194328493647912,16.041773962804008,44.53289074355084,4.886259244842351,70.22264280798348,106.46053772766696,1
Akita,3.0211651917404128,5.195756062767475,29.349732620320857,1.884159106769016,10.258110516934046,38.941333808844504,0
Albuquerque,1.9863655030800822,6.680228816589202,32.08959971408149,1.3878526645768026,18.548052876027153,22.447302608074313,0
Amiens,0.1,5.3699888847721375,19.237202823179793,0.8340189873417722,15.292773645058448,42.69418758256275,0
Amman,18.969776674937965,9.565977351058592,13.517397336293007,3.995420974889217,29.047901234567902,100.4,2
Amsterdam,2.8755867709815077,10.2132215007215,19.68804307463795,0.39938954597481874,15.944345661450924,40.055412844036695,0
Andong,5.477088700772911,10.226605504587155,25.416936373666786,4.966666666666667,34.253211009174315,66.33498705780846,2
Ankara,9.099795462997395,21.091988847583643,13.194578536947642,4.030052102716785,37.78197997775306,60.518045112781955,2
Antakya,5.03755364806867,10.675038284839204,8.802861230329041,4.901674770394381,37.772239263803684,74.28389830508475,2
Antwerpen,0.1,11.34381496881497,17.82192144373673,2.7079617834394907,19.382488479262673,44.98310291858679,0
Anyang,9.118185144529821,15.361635565312843,27.0662923642303,9.106897182583241,76.0018294914014,125.50201244054153,1
Arāk,25.488815455007625,23.298511293634498,14.710526315789474,31.09447004608295,58.88676948051948,74.8097033685269,3
Ashdod,58.762973760932944,6.627436155913978,34.462953629032256,2.268766801075269,34.96727853152434,58.80006720430107,3
Athens,0.1,11.728372225384177,29.326452164009112,3.6590883027522936,24.121444823663253,52.59357060849598,0
Atlanta,2.992114031840059,7.07462440454379,22.741773962804007,0.862270341207349,15.572905131044665,37.76381909547739,0
Augsburg,0.1,10.95796178343949,19.325994318181817,13.516312056737588,16.07258919109855,34.6214405360134,0
Baguio,6.254411764705883,9.276260162601625,15.140033500837522,9.806991869918699,20.285362853628538,57.70247933884298,2
Baltimore,2.5945295404814006,8.421866096866097,24.317321958456972,1.9171183079973562,13.462809917355372,33.143008849557525,0
Balıkesir,8.94556354916067,13.079057591623036,20.120737913486003,28.078285123966943,39.90725959711136,56.004901960784316,2
Bandar abbas,27.297101449275363,12.84115523465704,32.432432432432435,20.08712121212121,58.16684378320935,78.03071672354949,3
Bangkok,1.2006725663716815,9.813592920353983,8.355081444759207,1.5977635782747606,35.991501416430594,75.22163265306122,2
Barcelona,0.1,13.24228307254623,21.19402560455192,1.1093568557391695,22.132609469562123,42.76930998970134,0
Beijing,6.642543859649122,16.240551900584794,25.31639194139194,3.155043859649123,57.12989388949872,99.59758771929825,1
Belfast,1.4848171701112878,11.567175843694493,18.51575846833579,2.079246649764578,13.688809946714033,33.87680897250362,0
Belgrade,4.774114021571648,11.48637937668334,16.90300154918668,5.995594459407464,24.887269938650306,63.05346876197777,2
Bengaluru,5.663071895424837,8.891855855855857,11.524335581118603,2.982880434782609,52.0598440545809,87.54894578313252,2
Berlin,0.2692125984251969,11.463718220338983,20.689088983050848,2.8135948414830736,19.083156779661017,43.96468990493436,0
Bhopal,7.241242410088743,10.927622377622377,15.47137529137529,9.01250583294447,74.33752913752913,104.62610722610722,1
Bilbao,0.2449394155381326,6.605214615111741,22.13982960596379,2.58167139815472,14.446434905995034,36.481908478183755,0
Bogotá,5.796212914485166,6.435312609151239,4.280429469273743,0.6964921465968587,27.72643156424581,54.417269906928645,2
Boise,2.8999461013295007,8.677497808939526,23.079709116708052,0.7914707490431929,18.504214179474467,27.985790408525755,0
Bordeaux,0.25,6.101929886685552,23.136737588652483,1.2668256721595839,14.888456090651559,36.09300674476393,0
Boston,2.534502505368647,5.811989978525411,24.765508684863523,1.0951655281135049,12.53924914675768,27.6712158808933,0
Brescia,0.1,22.504886211512716,35.952128146453084,2.5176356589147284,26.497323818019627,63.509611086276266,2
Brisbane,1.9181618293755496,2.710162522028588,4.862761998041137,0.8717151454363089,13.34259984338293,22.93980031323414,0
Bristol,2.094645513138324,11.54870736086176,21.28898060255881,1.4593278129566487,15.984442836468885,39.62312097351467,0
Brussels,0.1,9.93064935064935,18.785476314419572,1.1568569746909947,16.810701956271576,42.66168009205984,0
Budapest,4.794172692471289,10.44030442035029,17.642126148705096,2.341687552213868,19.879899916597164,48.424023154848044,0
Buenos aires,3.2181393538341765,9.102523836231072,10.02632783882784,3.898723675813657,19.73835403726708,41.57268827454719,0
Burgos,0.10000000000000002,4.508018504240555,25.456846392552364,2.2435833011209896,12.087939698492463,25.79122600861731,0
Bursa,23.085962460063897,17.37328577090765,17.577306635257166,8.101976874300634,49.495737583395105,76.44309262166405,3
Busan,4.156760718211799,15.239259530791788,25.781447465099195,5.702125320630268,31.13159824046921,63.45928099779897,2
Butuan,29.347826086956523,15.144382022471909,17.333630952380954,3.8139393939393935,22.396341463414632,46.368589743589745,3
Bydgoszcz,4.426203966005666,7.732744783306581,18.884491634491635,2.135363898685476,23.667445742904842,55.29508748317631,0
Calama,3.460575403098324,6.353039973127309,14.656982622432858,1.2539917955190911,33.501419110690634,33.347010178117046,0
Calgary,3.0511647678966165,8.673767158108795,0.1,1.8558996262680192,99.5,25.05846466700559,1
Cardiff,1.805593477436481,7.9387652548456575,20.152823741007193,1.8380402930402933,14.515630614444843,35.60945454545455,0
Castelló de la plana,0.10000000000000002,5.121057479734708,25.775635359116023,2.7143124065769806,9.092299189388356,23.72323712093533,0
Chandigarh,5.060352512155592,8.646105476673428,12.455426829268292,3.7087865259740265,74.7472266244057,121.981925264013,1
Changchun,6.34117107195301,13.958828928046989,35.450743657042864,6.689776064610867,48.95466226138032,91.84838472834068,1
Changsha,7.170961820851689,12.408443465491922,23.333065566652195,4.627790014684288,51.14720998531571,109.04570484581498,1
Changwon,4.686588493953829,14.759622434017595,25.97134459955915,5.033711982411139,30.496517595307918,60.05612619222304,2
Changzhou,7.46991556534508,15.511435389133627,26.447353563867328,5.961582232011747,54.1947503671072,105.50770925110132,1
Charleroi,0.10000000000000002,9.674137931034481,17.771572794899043,0.8140814867762688,15.799538283955368,36.525606469002696,0
Charlotte,2.1653990806519015,6.640262941659819,23.234957173447537,0.8704849498327758,12.415881983678593,33.02123483226267,0
Chengdu,6.943274853801169,16.09629020467836,20.378531195840555,3.4944078947368418,54.61951754385965,107.80701754385964,1
Chennai,8.238921071687184,6.4214388748647675,8.850875273522975,3.8455250811981236,46.30591677503251,91.74237588652483,2
Cheongju-si,5.0323561744228655,16.01933651026393,22.82400808229243,4.361267863686332,36.85117302052786,74.42525773195877,2
Chiang mai,1.337275179856115,5.031191281473131,9.35437969924812,1.3342273819055244,33.90215439856373,81.82448669201521,2
Chiba,3.3312987934705465,8.749769339957416,25.53734918381831,2.3342441447835345,13.165542938254081,37.357700496806245,0
Chicago,2.811298076923077,9.17887662025924,24.872511594719942,0.6222402597402598,15.23354156655454,33.77520339582596,0
Chihuahua,8.051791530944625,10.399206349206349,28.66308139534884,5.582075471698113,39.884892086330936,62.93650793650794,2
Chillán,9.014285714285714,1.3,13.471428571428572,11.258823529411766,33.895158755108454,62.716981132075475,2
Chon buri,0.934653024911032,6.8253909843606255,10.783410138248849,1.9400684931506849,35.34807781380269,63.593945720250524,2
Chongqing,7.736100950987564,15.907388441843453,16.53559384164223,4.53348573518654,47.992867593269935,100.09546452084858,1
Christchurch,2.9094530722484806,2.903968253968254,11.6869918699187,1.470272206303725,13.462989323843416,26.673309608540926,0
Chuncheon,5.074072713918473,11.217467008797653,22.68714180749449,3.940533530937384,32.69263196480939,63.714968738506805,2
Clermont-ferrand,1.192226148409894,7.714344723995493,22.764994547437297,0.7237762237762237,12.268093974990526,34.25160370634355,0
Concepción,13.310364500792392,5.269215070643642,9.68041958041958,2.8080640100407903,31.997492948918833,56.27790003143666,2
Copenhagen,2.017227204783259,6.942977213298468,22.30480014942099,0.49548022598870056,20.748775894538607,37.791373926619826,0
Cuernavaca,7.537760055478502,13.945096731154104,18.71895826025956,5.538018741633199,27.540295119182748,61.513251783893985,2
Córdoba,2.563485323980063,6.361293201362972,23.947010074748132,1.6801481360898582,20.45388507998694,47.3392141138733,0
Daegu,4.922975448882374,15.030791788856305,23.894654665686996,4.043019421033345,32.64534457478006,65.56126192223037,2
Daejeon,4.844833272260901,14.72274560117302,23.133908890521674,4.250641260534994,33.1724706744868,63.33098591549296,2
Dallas,2.275060415659739,4.663416898792943,22.89842477876106,0.739779411764706,19.361520998864926,33.70157451482973,0
Dammam,9.96078431372549,2.4525316455696204,16.86176935229068,1.8904593639575973,16.794507575757574,106.81385869565217,2
Darmstadt,0.10000000000000002,8.890583554376658,18.52515769044153,0.6008101265822784,12.323629306162058,33.204754973313925,0
Darwin,3.6548141377209022,0.8910411622276029,6.566986855409504,0.36933605720122575,15.459753883397216,30.064958644341335,0
Debrecen,4.341352718078381,9.229788857796999,20.7207219585311,1.4679794948737184,20.265425930552087,60.63664122137405,0
Delhi,9.360452776795189,16.459586133710648,9.18691192076406,5.432543332154227,130.13013456090653,164.13580028328613,1
Denizli,14.186666666666667,32.093227091633466,15.538565629228687,6.59894578313253,51.93967517401392,65.98498498498499,3
Denver,2.6791560567479085,7.757059679767104,13.40167211922937,0.7099956350938454,18.63259367042561,28.673209741912032,0
Detroit,4.167376330619913,11.434748010610079,22.125049622866218,3.240085287846482,16.793857711003092,37.51093210586882,0
Dongguan,6.647026431718062,12.892088839941264,20.35779064158225,4.415675477239354,37.40253303964758,78.63399412628488,2
Donostia / san sebastián,0.24248039914468994,7.619222577209797,25.731853693181815,1.6499290024849131,14.270678026269081,32.53248136315229,0
Douliu,3.30044154009184,8.325503355704697,22.491027905333805,3.2323207347227125,37.67714588484635,67.34864005651713,2
Dubai,3.2919117647058824,19.586080586080588,14.900369003690036,14.554411764705883,64.10661764705883,118.22585227272727,1
East london,13.586574074074075,3.490142517814727,8.402674897119342,7.551355661881978,19.708984375,34.9392575928009,0
Edinburgh,2.048413733159496,7.647668668315083,23.123886925795052,2.597128316975645,9.379858657243815,21.10435090201627,0
Edmonton,3.538016387845681,9.044416200643958,0.1,1.8008731381612737,10.402439024390244,28.80274529740722,0
El paso,2.520542817033224,6.310297239915075,27.90764852365706,0.6020757654385055,24.543347487615005,29.562632696390658,0
Erzurum,9.358835341365461,16.604099025974026,24.8285974130962,4.466723163841808,35.86069836552749,85.9917695473251,2
Eskişehir,5.271945551128818,19.012010796221322,26.228263795423956,3.634821428571428,31.804023508137433,48.024088541666664,2
Florence,0.1,18.765564620008586,44.4076923076923,1.2896997690531178,17.523063533507397,44.05075268817204,0
Foshan,6.429845814977974,14.070080763582967,18.920453449107573,4.254405286343612,40.03267254038179,77.92529368575624,2
Fresno,3.1686836518046713,7.653378139370357,24.472798019101525,1.2188069216757742,29.35230600292826,42.09663716814159,0
Fukuoka,3.836169154228856,7.156339318431661,27.63950164895566,2.3600806451612906,16.098204470502015,45.9783803591059,0
Fushun,7.581558726673985,11.556714233443103,26.11357917570499,7.595298207098427,53.5117087449689,98.37413099158434,1
Fuzhou,5.683406754772394,9.683883994126285,43.93540609137056,2.5218795888399415,37.2972824091076,71.3186490455213,2
Gandhinagar,6.732343025705858,15.815199999999999,10.708435259384226,11.499978938500421,67.68516597510373,115.21282922684792,1
Gasteiz / vitoria,0.2521382751247327,7.623003194888179,26.326425702811246,1.607936507936508,12.856585019524317,34.63968761093362,0
Gdańsk,3.09774011299435,6.667796610169492,22.193820621468927,1.6619350282485876,17.13806497175141,45.94109246697608,0
Gent,0.1,9.747297297297298,19.46163456533056,1.6143164693218515,19.869239631336406,45.93356374807988,0
Ghāziābād,10.016945400885392,20.958153241650297,11.167557626287396,6.863813229571984,117.04499027237354,149.44965953307394,1
Gifu-shi,3.2058056872037914,5.74367774566474,25.156056236481614,3.1360058309037897,11.23894927536232,37.66365932876218,0
Granada,1.7913336792942398,10.633410404624279,23.21918178309533,3.2441914318795835,25.292358162871476,45.78951747088186,0
Guadalajara,7.398008092125739,13.466248068006182,18.811079545454547,5.382684044686337,36.349573863636365,68.085250338295,2
Guangzhou,7.164288327844859,16.78622392974753,17.542375737152483,3.9404866447127698,40.07427735089645,80.7548623853211,2
Guiyang,5.449045521292217,7.945704845814977,22.465200348432056,4.522797356828194,36.25367107195301,75.87977239353891,2
Gwangju,5.073176987907658,13.43881964809384,24.349559147685525,4.2845364602418465,31.38526392961877,63.173234200743494,2
Győr,5.650997280145059,9.436121323529411,16.946088657105605,1.581166881166881,19.241153342070774,45.49436302142052,0
Haarlem,2.288542435424354,8.093290043290043,20.9518380987746,0.48124522536287245,17.32699146514936,40.757153338224505,0
Haifa,3.7164028292354327,7.270211338477021,38.11964106004696,1.4696038939241356,29.978158602150536,57.47685340489768,0
Haikou,4.961174103877103,4.516788588149232,23.386645213193884,2.623408924652524,28.166422823701538,57.04316020482809,0
Haiphong,6.146968139773895,7.33030303030303,13.983649789029537,11.06205533596838,16.326747720364743,19.443846153846152,0
Hamburg,0.09999999999999999,10.641678445229683,19.871166077738515,2.235788717211642,15.91077738515901,41.72563559322034,0
Hamilton,2.4897626112759648,7.614850648130753,22.159521928091664,3.938868868868869,11.077978116813068,30.164371390493113,0
Hangzhou,6.758046817849305,15.837893196781273,21.906602768903088,3.9853145574250184,49.623445501097294,96.78931967812728,1
Hanoi,4.089995452478399,11.4655590480467,9.039574468085107,11.30509009009009,38.00022153300842,87.96,2
Harbin,6.843212586900842,14.36926454445664,30.567859877488516,8.776582510062202,50.212403951701425,95.18294914013904,1
Hartford,2.7325518969219758,4.591520885398072,12.275231910946196,2.082657657657658,13.391585760517799,28.74557678697806,0
Hefei,6.623226042428676,14.951554498902707,32.282268768146,4.336539868324799,55.44065934065934,106.09180687637162,1
Hegang,4.8240190685735245,5.213623028969564,32.076175790285276,4.629207920792079,33.45379537953795,70.91657499083242,2
Hiroshima,4.3076566951566955,8.09537037037037,24.134751773049647,2.2626854867897213,14.69889601139601,43.20549645390071,0
Hong kong,5.799275618374558,18.65798586572438,19.135795053003534,2.4445406360424027,26.747526501766785,60.76925795053003,2
Houston,2.618292682926829,6.882792207792208,20.149539823008848,0.7870431893687707,24.52577319587629,38.08300884955752,0
Hsinchu,3.0839456022606853,8.577675732956553,24.46020840692335,2.770646414694454,27.55757682797598,53.740021193924406,0
Huelva,3.175141825683342,4.480894777265745,27.131514219830898,2.668663594470046,19.678516525749423,41.763422818791945,0
Huế,6.53510158013544,9.9058039961941,10.858538899430739,8.804166666666667,22.04093567251462,31.507042253521128,0
Hyderabad,5.332751798561151,10.93477321814255,10.72145690587811,3.145593525179856,64.32647718773373,110.07684563758389,1
Hāpur,8.7833984375,11.266162109375,10.8790283203125,6.0739990234375,100.011474609375,131.641357421875,1
Hạ long,12.74313725490196,8.007147296457427,13.347468002225932,85.92129963898917,21.147486033519552,34.31061452513966,4
Incheon,5.643972150971051,19.895619501466275,23.205657604702427,6.031531696592158,36.725806451612904,70.38664710198093,2
Indianapolis,3.4121310295176386,7.380942028985507,23.342790530846482,1.217930029154519,17.25119266055046,36.42395982783357,0
Irbid,13.563484190948545,8.159247810407006,18.910283687943263,4.838473767885533,22.577356557377048,73.28787878787878,2
Isfahan,23.21285140562249,11.04954128440367,16.059782608695652,24.817551963048498,61.397590361445786,86.13151174668029,3
Istanbul,10.579569093610699,20.349739486416077,12.067161961367013,4.105210271678452,32.11841128433556,65.32920597484276,2
İzmir,5.211153262518969,17.64034482758621,14.20236220472441,5.319298906897852,31.708580980683507,66.40722379603399,2
İzmit,15.92960128876359,14.619555817610063,16.2369033530572,8.369813084112149,36.4560785767235,66.18,2
Jackson,2.1098626478443343,3.7502014968336215,22.701043509020163,1.5338654503990878,16.6060507482108,34.651220374955784,0
Jacksonville,4.249260869565217,3.9351305091998285,11.782486678507992,0.6999610136452242,16.506077940650698,31.59403832505323,0
Jaipur,6.595550351288056,13.519570312499999,16.439709972189114,5.821928794992176,78.81284153005464,125.80085903943773,1
Jeju city,3.4726571113561193,8.595958853783983,33.17812960235641,3.1908518518518516,30.10933480338111,57.53973509933775,0
Jeonju,4.593275925247343,11.334054252199413,26.314033798677443,4.506962257237083,35.7041788856305,71.2752124122645,2
Jerusalem,5.496526991317478,11.923435764531655,48.29487322893363,2.2972527472527475,34.36048237476809,57.40518518518518,2
Jieyang,7.176505139500734,8.180323054331865,26.24266544117647,4.955671806167401,41.31075624082232,83.27551395007342,2
Jinan,2.1956489945155395,15.185356489945155,33.42795362532205,8.677495429616089,70.581718464351,112.14003656307129,1
Johannesburg,6.531282495667244,8.170392836510688,7.215657620041754,2.275154162384378,39.328504914640455,74.09501557632399,2
Kagoshima,2.6916145641780065,5.643341663691539,25.44302034987504,3.0499637155297528,15.783291681542305,44.63655837200999,0
